Datetime,pond,model,DO_true,DO_pred,DO_lo,DO_hi,pH_true,pH_pred,pH_lo,pH_hi
2021-08-16 13:00:00,IoTPond2,Per-pond specialist (IoTPond2),2.3120000000000003,2.403822,1.8000836,8.370247,7.053649999999999,7.0581913,7.0599017,7.715314
2021-08-16 14:00:00,IoTPond2,Per-pond specialist (IoTPond2),3.296,2.4655232,1.7166473,8.995099,7.04911,7.05052,7.057311,7.715475
2021-08-16 15:00:00,IoTPond2,Per-pond specialist (IoTPond2),3.82,2.7252347,2.0502489,8.910164,7.04911,7.092471,7.062345,7.715331
2021-08-16 16:00:00,IoTPond2,Per-pond specialist (IoTPond2),1.4785,2.7111568,2.0675318,9.738152,7.05365,7.0584,7.060524,7.7124577
2021-08-16 17:00:00,IoTPond2,Per-pond specialist (IoTPond2),2.722,2.8854191,2.32316,9.257751,7.06727,7.084199,7.0631204,7.7124577
2021-08-16 18:00:00,IoTPond2,Per-pond specialist (IoTPond2),1.834,2.9681318,2.1160088,9.234327,7.06954,7.0607104,7.063279,7.7068415
2021-08-16 19:00:00,IoTPond2,Per-pond specialist (IoTPond2),3.5835,2.8046339,2.3224492,9.412739,7.07181,7.0672207,7.0635056,7.715314
2021-08-16 20:00:00,IoTPond2,Per-pond specialist (IoTPond2),1.2894999999999999,3.1417348,2.468127,9.421226,7.0649999999999995,7.078674,7.0649295,7.7144327
2021-08-16 21:00:00,IoTPond2,Per-pond specialist (IoTPond2),3.213,3.070463,2.0718384,6.178856,7.07181,7.0799356,7.0756936,7.7144327
2021-08-16 22:00:00,IoTPond2,Per-pond specialist (IoTPond2),1.6909999999999998,3.0893576,2.2349527,9.925734,7.07181,7.084485,7.067714,7.71445
2021-08-16 23:00:00,IoTPond2,Per-pond specialist (IoTPond2),2.731,2.7943,1.9646419,9.596169,7.06727,7.0561113,7.065677,7.7049246
2021-08-17 00:00:00,IoTPond2,Per-pond specialist (IoTPond2),0.919,2.7082062,1.6347793,8.406011,7.07181,7.072164,7.067002,7.6829224
2021-08-17 01:00:00,IoTPond2,Per-pond specialist (IoTPond2),2.535,3.3739426,1.9920657,6.2722597,7.07181,7.0770826,7.064802,7.7049074
2021-08-17 02:00:00,IoTPond2,Per-pond specialist (IoTPond2),1.303,3.1565695,1.7114197,3.1619,7.06727,7.0631795,7.074193,7.648402
