model,feature,importance
Global,Temp,0.2792953848838806
Global,Turb,0.4136895537376404
Global,HourSin,1.9309465885162354
Global,HourCos,0.41417279839515686
Global,DayOfYearSin,3.341679334640503
Global,DayOfYearCos,1.426666498184204
Global,Temp_lag1,0.3146699368953705
Global,Temp_lag3,0.580166220664978
Global,Temp_lag6,1.2423975467681885
Global,Temp_lag12,1.0625743865966797
Global,Turb_lag1,0.6047125458717346
Global,Turb_lag3,0.5855907201766968
Global,Turb_lag6,1.7703709602355957
Global,Turb_lag12,2.7062368392944336
Global,DO_lag1,0.8885515928268433
Global,DO_lag3,1.35243558883667
Global,DO_lag6,0.7405030727386475
Global,DO_lag12,0.9166125059127808
Global,DO_lag24,0.5780768394470215
Global,pH_lag1,2.7141101360321045
Global,pH_lag3,1.5323710441589355
Global,pH_lag6,2.19588303565979
Global,pH_lag12,2.07731294631958
Global,pH_lag24,2.695591449737549
Global,Temp_roll6_mean,0.5975943803787231
Global,Temp_roll6_std,0.8102334141731262
Global,DO_roll6_mean,2.8266236782073975
Global,pH_roll6_mean,79.07695770263672
Global,PondCode,0.39848649501800537
Per-pond specialist (IoTPond2),Temp,0.10205971449613571
Per-pond specialist (IoTPond2),Turb,0.09531204402446747
Per-pond specialist (IoTPond2),HourSin,0.3796983063220978
Per-pond specialist (IoTPond2),HourCos,0.14854393899440765
Per-pond specialist (IoTPond2),DayOfYearSin,1.4131437540054321
Per-pond specialist (IoTPond2),DayOfYearCos,0.1805701106786728
Per-pond specialist (IoTPond2),Temp_lag1,0.13376599550247192
Per-pond specialist (IoTPond2),Temp_lag3,0.20362362265586853
Per-pond specialist (IoTPond2),Temp_lag6,0.20162685215473175
Per-pond specialist (IoTPond2),Temp_lag12,0.2097640335559845
Per-pond specialist (IoTPond2),Turb_lag1,0.05445993319153786
Per-pond specialist (IoTPond2),Turb_lag3,0.08094663918018341
Per-pond specialist (IoTPond2),Turb_lag6,0.3981918692588806
Per-pond specialist (IoTPond2),Turb_lag12,0.2183765023946762
Per-pond specialist (IoTPond2),DO_lag1,0.07191688567399979
Per-pond specialist (IoTPond2),DO_lag3,0.16305950284004211
Per-pond specialist (IoTPond2),DO_lag6,0.1464584916830063
Per-pond specialist (IoTPond2),DO_lag12,0.1538921445608139
Per-pond specialist (IoTPond2),DO_lag24,0.06364309042692184
Per-pond specialist (IoTPond2),pH_lag1,1.1353330612182617
Per-pond specialist (IoTPond2),pH_lag3,0.4070570468902588
Per-pond specialist (IoTPond2),pH_lag6,0.2842760682106018
Per-pond specialist (IoTPond2),pH_lag12,2.2551686763763428
Per-pond specialist (IoTPond2),pH_lag24,2.7945196628570557
Per-pond specialist (IoTPond2),Temp_roll6_mean,0.1799250990152359
Per-pond specialist (IoTPond2),Temp_roll6_std,0.11942155659198761
Per-pond specialist (IoTPond2),DO_roll6_mean,0.8576188087463379
Per-pond specialist (IoTPond2),pH_roll6_mean,0.9961609840393066
Per-pond specialist (IoTPond3),Temp,0.2935539186000824
Per-pond specialist (IoTPond3),Turb,0.41852352023124695
Per-pond specialist (IoTPond3),HourSin,0.12221250683069229
Per-pond specialist (IoTPond3),HourCos,0.0670727863907814
Per-pond specialist (IoTPond3),DayOfYearSin,3.376582384109497
Per-pond specialist (IoTPond3),DayOfYearCos,1.609519124031067
Per-pond specialist (IoTPond3),Temp_lag1,0.2537561058998108
Per-pond specialist (IoTPond3),Temp_lag3,0.24450775980949402
Per-pond specialist (IoTPond3),Temp_lag6,1.5254096984863281
Per-pond specialist (IoTPond3),Temp_lag12,0.4045628309249878
Per-pond specialist (IoTPond3),Turb_lag1,0.5001124143600464
Per-pond specialist (IoTPond3),Turb_lag3,0.7627336978912354
Per-pond specialist (IoTPond3),Turb_lag6,0.34076815843582153
Per-pond specialist (IoTPond3),Turb_lag12,0.8476211428642273
