pond,model,anchor_dt,target_dt,anchor_do,anchor_ph,do_lo,do_pred,do_hi,ph_lo,ph_pred,ph_hi
IoTPond2,Per-pond specialist (IoTPond2),2021-09-05 07:00:00,2021-09-06 07:00:00,2.7264999999999997,6.86526,2.1973047,3.8727913,4.949789,7.1105714,7.1785417,7.7062616
IoTPond2,Global,2021-09-05 07:00:00,2021-09-06 07:00:00,2.7264999999999997,6.86526,1.9826083,8.711754,8.120664,6.6867967,6.8914647,7.18199
IoTPond3,Per-pond specialist (IoTPond3),2021-09-04 18:00:00,2021-09-05 18:00:00,5.08,7.27154,3.9218512,4.451719,5.872757,6.7849274,7.3175077,7.318057
IoTPond3,Global,2021-09-04 18:00:00,2021-09-05 18:00:00,5.08,7.27154,4.635308,3.628864,5.2761035,6.8233786,6.9893975,7.160066
IoTPond4,Per-pond specialist (IoTPond4),2021-09-04 22:00:00,2021-09-05 22:00:00,1.149,7.48944,1.6215857,3.5226626,4.893171,7.4934015,7.4961133,7.761825
IoTPond4,Global,2021-09-04 22:00:00,2021-09-05 22:00:00,1.149,7.48944,1.6645447,4.300146,5.342697,7.3181334,7.427622,7.4767485
IoTPond6,Per-pond specialist (IoTPond6),2021-10-01 11:00:00,2021-10-02 11:00:00,1.249,5.75082,0.82704145,0.899851,7.9464803,5.336268,5.334281,6.531601
IoTPond6,Global,2021-10-01 11:00:00,2021-10-02 11:00:00,1.249,5.75082,2.0819035,8.243188,7.732038,6.583558,6.8094115,7.137786
IoTPond7,Per-pond specialist (IoTPond7),2021-08-22 01:00:00,2021-08-23 01:00:00,6.605,7.03549,4.9025235,9.744106,11.836396,7.0637364,7.143496,7.43854
IoTPond7,Global,2021-08-22 01:00:00,2021-08-23 01:00:00,6.605,7.03549,2.3004067,5.805373,11.144708,6.9175444,7.048583,7.1554923
IoTPond9,Global,2021-07-26 10:00:00,2021-07-27 10:00:00,10.185,7.24431,2.9493206,2.9406877,7.5107727,5.496525,5.5018287,6.503463
IoTpond1,Per-pond specialist (IoTpond1),2021-09-05 01:00:00,2021-09-06 01:00:00,0.976,6.86753,1.3729384,3.2584198,6.249497,7.060302,7.1274242,7.670813
IoTpond1,Global,2021-09-05 01:00:00,2021-09-06 01:00:00,0.976,6.86753,2.1066551,9.358518,6.8888383,6.829308,6.8939443,7.1412096
