Model,MAE,RMSE,R²,MAPE%
"[80/20 | Default  (n=300, lr=0.05, d=4)] MO-GBR → DO",0.2456,0.3136,-0.386,3.5496
"[80/20 | Default  (n=300, lr=0.05, d=4)] SO-GBR → DO",0.2456,0.3136,-0.386,3.5496
"[80/20 | Default  (n=300, lr=0.05, d=4)] MO-GBR → pH",0.0202,0.0258,-100.3252,0.2565
"[80/20 | Default  (n=300, lr=0.05, d=4)] SO-GBR → pH",0.0202,0.0258,-100.3252,0.2565
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → DO",0.1277,0.2044,0.4111,1.8092
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → DO",0.1277,0.2044,0.4111,1.8092
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → pH",0.0278,0.0376,-215.0814,0.3527
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → pH",0.0278,0.0376,-215.0814,0.3527
"[80/20 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → DO",0.2027,0.2819,-0.1204,2.9099
"[80/20 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → DO",0.2027,0.2819,-0.1204,2.9099
"[80/20 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → pH",0.0059,0.0102,-14.8721,0.0742
"[80/20 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → pH",0.0059,0.0102,-14.8721,0.0742
"[70/30 | Default  (n=300, lr=0.05, d=4)] MO-GBR → DO",0.174,0.3428,-0.5734,2.5267
"[70/30 | Default  (n=300, lr=0.05, d=4)] SO-GBR → DO",0.174,0.3428,-0.5734,2.5267
"[70/30 | Default  (n=300, lr=0.05, d=4)] MO-GBR → pH",0.1532,0.1942,-449.7321,1.9421
"[70/30 | Default  (n=300, lr=0.05, d=4)] SO-GBR → pH",0.1532,0.1942,-449.7321,1.9421
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → DO",0.1509,0.2873,-0.1051,2.1991
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → DO",0.1509,0.2873,-0.1051,2.1991
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → pH",0.1151,0.1524,-276.5065,1.4585
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → pH",0.1151,0.1524,-276.5065,1.4585
"[70/30 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → DO",0.1848,0.3223,-0.3906,2.6895
"[70/30 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → DO",0.1848,0.3223,-0.3906,2.6895
"[70/30 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → pH",0.1251,0.1588,-300.3955,1.5859
"[70/30 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → pH",0.1251,0.1588,-300.3955,1.5859
"[60/40 | Default  (n=300, lr=0.05, d=4)] MO-GBR → DO",0.1366,0.2818,-0.1206,1.9865
"[60/40 | Default  (n=300, lr=0.05, d=4)] SO-GBR → DO",0.1366,0.2818,-0.1206,1.9865
"[60/40 | Default  (n=300, lr=0.05, d=4)] MO-GBR → pH",0.1247,0.169,-264.2532,1.5805
"[60/40 | Default  (n=300, lr=0.05, d=4)] SO-GBR → pH",0.1247,0.169,-264.2532,1.5805
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → DO",0.1229,0.2157,0.3436,1.7898
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → DO",0.1229,0.2157,0.3436,1.7898
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → pH",0.104,0.1413,-184.3842,1.3182
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → pH",0.104,0.1413,-184.3842,1.3182
"[60/40 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → DO",0.1215,0.2556,0.0787,1.7601
"[60/40 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → DO",0.1215,0.2556,0.0787,1.7601
"[60/40 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → pH",0.1122,0.1562,-225.7023,1.4218
"[60/40 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → pH",0.1122,0.1562,-225.7023,1.4218
