Model,MAE,RMSE,R²,MAPE%
"[80/20 | Default  (n=300, lr=0.05, d=4)] MO-GBR → DO",3.0046,4.2773,-1.4459,205.2412
"[80/20 | Default  (n=300, lr=0.05, d=4)] SO-GBR → DO",3.0046,4.2773,-1.4459,205.2412
"[80/20 | Default  (n=300, lr=0.05, d=4)] MO-GBR → pH",0.3111,0.6397,0.1901,5.5617
"[80/20 | Default  (n=300, lr=0.05, d=4)] SO-GBR → pH",0.3111,0.6397,0.1901,5.5617
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → DO",2.9973,4.3273,-1.5034,208.3704
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → DO",2.9973,4.3273,-1.5034,208.3704
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → pH",0.3252,0.6745,0.0998,5.8337
"[80/20 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → pH",0.3252,0.6745,0.0998,5.8337
"[80/20 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → DO",3.1253,4.4675,-1.6683,215.0651
"[80/20 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → DO",3.1253,4.4675,-1.6683,215.0651
"[80/20 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → pH",0.3159,0.6458,0.1747,5.645
"[80/20 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → pH",0.3159,0.6458,0.1747,5.645
"[70/30 | Default  (n=300, lr=0.05, d=4)] MO-GBR → DO",1.9638,2.6698,0.3211,102.1546
"[70/30 | Default  (n=300, lr=0.05, d=4)] SO-GBR → DO",1.9638,2.6698,0.3211,102.1546
"[70/30 | Default  (n=300, lr=0.05, d=4)] MO-GBR → pH",0.2543,0.5558,0.204,4.399
"[70/30 | Default  (n=300, lr=0.05, d=4)] SO-GBR → pH",0.2543,0.5558,0.204,4.399
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → DO",1.8346,2.4542,0.4263,91.7186
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → DO",1.8346,2.4542,0.4263,91.7186
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → pH",0.2235,0.5077,0.3359,3.9054
"[70/30 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → pH",0.2235,0.5077,0.3359,3.9054
"[70/30 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → DO",2.1068,2.7792,0.2643,112.3826
"[70/30 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → DO",2.1068,2.7792,0.2643,112.3826
"[70/30 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → pH",0.2388,0.5266,0.2855,4.1403
"[70/30 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → pH",0.2388,0.5266,0.2855,4.1403
"[60/40 | Default  (n=300, lr=0.05, d=4)] MO-GBR → DO",2.6409,3.3535,-0.0002,123.5828
"[60/40 | Default  (n=300, lr=0.05, d=4)] SO-GBR → DO",2.6409,3.3535,-0.0002,123.5828
"[60/40 | Default  (n=300, lr=0.05, d=4)] MO-GBR → pH",0.34,0.5764,-0.0365,5.3307
"[60/40 | Default  (n=300, lr=0.05, d=4)] SO-GBR → pH",0.34,0.5764,-0.0365,5.3307
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → DO",2.4192,3.1455,0.12,114.5135
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → DO",2.4192,3.1455,0.12,114.5135
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] MO-GBR → pH",0.3251,0.5422,0.0829,5.1203
"[60/40 | Shallow  (n=100, lr=0.10, d=3)] SO-GBR → pH",0.3251,0.5422,0.0829,5.1203
"[60/40 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → DO",2.6407,3.3865,-0.02,125.7527
"[60/40 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → DO",2.6407,3.3865,-0.02,125.7527
"[60/40 | Deep     (n=500, lr=0.02, d=5)] MO-GBR → pH",0.3602,0.6135,-0.174,5.6276
"[60/40 | Deep     (n=500, lr=0.02, d=5)] SO-GBR → pH",0.3602,0.6135,-0.174,5.6276
